start
1  9.44   100000000
2  8.73   100000000
3  8.35   100000000
4  8.64   100000000
5  9.12   100000000
6  9.61   100000000
7  8.52   100000000
8  8.84   100000000
9  8.73   100000000
10  8.86   100000000
11  9.67   100000000
12  9.77   100000000
13  9.03   100000000
14  8.84   100000000
15  9.69   100000000
16  9.42   100000000
17  9.18   100000000
18  9.39   100000000
19  9.00   100000000
20  9.28   100000000
21  8.98   100000000
22  9.11   100000000
23  9.15   100000000
24  8.81   100000000
25  8.99   100000000
26  9.34   100000000
27  9.46   100000000
28  9.09   100000000
29  9.65   100000000
30  9.15   100000000
31  9.02   100000000
32  9.68   100000000
33  9.23   100000000
34  9.16   100000000
35  9.41   100000000
36  8.81   100000000
37  8.96   100000000
38  8.68   100000000
39  8.79   100000000
40  8.72   100000000
41  10.28   100000000
42  9.44   100000000
43  9.24   100000000
44  9.21   100000000
45  8.96   100000000
46  9.56   100000000
47  9.36   100000000
48  8.96   100000000
49  9.38   100000000
50  9.40   100000000
51  9.33   100000000
52  9.26   100000000
53  8.98   100000000
54  8.94   100000000
55  8.90   100000000
56  9.24   100000000
57  9.66   100000000
58  9.64   100000000
59  9.46   100000000
60  9.39   100000000
61  9.81   100000000
62  9.69   100000000
63  9.18   100000000
64  9.27   100000000
65  9.37   100000000
66  9.19   100000000
67  9.35   100000000
68  9.44   100000000
69  9.25   100000000
70  9.08   100000000
71  9.20   100000000
72  9.26   100000000
73  9.12   100000000
74  9.70   100000000
75  8.95   100000000
76  9.35   100000000
77  9.62   100000000
78  9.04   100000000
79  9.50   100000000
80  9.64   100000000
81  9.24   100000000
82  9.99   100000000
83  9.14   100000000
84  9.14   100000000
85  9.45   100000000
86  10.01   100000000
87  9.12   100000000
88  8.96   100000000
89  9.59   100000000
90  9.28   100000000
91  8.68   100000000
92  8.59   100000000
93  8.81   100000000
94  8.80   100000000
95  8.90   100000000
96  8.78   100000000
97  8.95   100000000
98  9.49   100000000
99  9.12   100000000
100  9.44   100000000
